,adres,longitude,latitude
140,"г. Озерск, ул. Кыштымская,   д. 11, корпус 2",60.715926,55.751857
141,"г. Магнитогорск,  ул. Сульфидная,  д. 1, строение 9",59.095599,53.411081
142,"г. Челябинск, ул. Енисейская, д. 32",61.476162,55.141058
143,"г. Челябинск, Троицкий тракт,  д. 21е (19)",61.382683,55.090918
144,"г. Копейск, ул. Куйбышева,  д. 37 б ",61.665625,55.13408
145,"г. Челябинск, ул. Автодорожная,  д. 5Б",61.368337,55.205332
146,"Кусинский р-н,     р.п. Магнитка, ул. Спартака, д. 2а, участок 2.",59.69942,55.340072
147,"г. Катав-Ивановск, ул. Малая Юрюзанская, д. 2в",58.232004,54.775163
148,"г. Челябинск, ул. Енисейская, д. 8 ",61.458887,55.146708
149,"г. Челябинск, ул. Физкультурная,  д. 34",61.396733,55.112937
150,"г. Магнитогорск, проезд Кирпичный, д. 6",59.052228,53.44485
154,"г. Челябинск, ул. Производственная, д. 2",61.355733,55.207742
155," г. Челябинск, ул. Монтажников,  д. 8.   С 25.02.2020 открыт новый объект:  г. Челябинск, Шоссе Металлургов, 5П",61.412264,55.255021
156,"г. Челябинск, ул. Автодорожная, д. 5Б",61.368337,55.205332
157,"г. Челябинск, ул. Ветка Цинкового Завода, д. 8",61.379485,55.201962
158,"г. Коркино, ул. Островского,  д. 44",61.38386,54.900762
159,"г. Магнитогорск, ул. Электросети,  д. 38",59.081064,53.430373
160,"г. Челябинск, ул. 2-я Павелецкая,  д. 18 ",61.412363,55.265091
161,"г. Челябинск,  ул. Физкультурная, д. 34",61.396733,55.112937
162,"г. Челябинск, ул. Героев Танкограда, д. 52П ",61.439986,55.212637
163,"г. Челябинск, Троицкий тракт, д. 33",61.385899,55.085966
164,"г. Челябинск, ул. Героев Танкограда, д. 57п",61.442969,55.211394
165,"с. Варна, ул. Ленина, д. 1а",60.992194,53.389182
166,"г. Челябинск, Троицкий тракт,  д. 25Б – с 22.07.2019  объект исключен.  с 22.07.2019  – новый объект: г. Челябинск, Троицкий тракт, д. 60-а",1,1
167,"г. Копейск, промплощадка шахты «Центральная»",61.472155,55.00216
168,"г. Карабаш, ул. Освобождение Урала, д. 27а ",60.203087,55.488371
169,"г. Челябинск, пос. Федоровка, ст. Асфальтная  г. Челябинск, ул. Калинов двор, д. 26",61.333806,55.073958
170,"г. Златоуст, проезд Парковый, д. 1 ",59.704253,55.11148
171,"г. Куса, ул. Нижнезаводская, д. 1",59.43598,55.329134
173,"г. Магнитогорск, ул. Шоссейная,  д. 70 ",59.092464,53.400576
174,"1) г. Троицк, Район Вторчермета; 2) г. Пласт, ул. Березовая, д. 3; 3) г. Южноуральск, ул. Московская, 24; 4) г. Юрюзань, ул. Пушкина, д. 91.",1,1
175,"г. Миасс, ул. Пролетарская, д. 1",60.10553,54.985328
176,"г. Челябинск, Металлургический район, Северо-восточная промышленная зона",61.418714,55.259243
177,"г. Челябинск, ул. Героев Танкограда, д. 80п ",61.432926,55.193468
178,"г. Южноуральск, ул. Заводская, д. 1",61.270807,54.457123
179,"1) г. Челябинск, Советский район, Юго-Западный промрайон, ул. Короленко; 2) Аргаяшский район, с. Аргаяш, юго-восточнее здания конторы ОАО «Агрохимик» на расстоянии 180 м. 3) г. Корнино, ул. Керамиков, 36Д; 4) Красноармейский район, пос. Мирный, восточнее Битумного завода; 5) Сосновский район, пос. Федоровка; 6) г. Копейск, установлено относительно ориентира промплощадка ш. «Центральная», расположенного в границах участка, адрес ориентира: Челябинская область, г. Копейск.",1,1
180,"г. Магнитогорск, ул. Калибровщиков, д. 30",59.084361,53.461591
181,"г. Миасс, ул. Объездная дорога, д. 4/2",60.147742,55.116449
182,"г. Челябинск, ул. Линейная, д. 53",61.515436,55.157469
183,"г. Миасс, ул. 60 лет Октября, д. 19",60.104946,55.018205
184,"Еманжелинский р-н, пос. Красногорский, ул. Строительная, д. 8",61.240489,54.602909
185,"Еманжелинский р-н, р.п. Красногорский, ул. Строительная, д. 8а",61.240489,54.602909
186,"г. Челябинск, ул. Горелова, д. 12 ",61.504656,55.118673
187,"1) г. Миасс, ул. Гуськова, д. 16а 2) С 14.07.2021 г. дополнительный объект: 456317, Челябинская область,               г. Миасс, ул. Зеленая в южной части города (южнее смежного земельного участка с кадастровым номером 74:34:1900003:4)",60.109599,55.050432
188,"г. Аша, от основной площадки, вдоль  ул. Узкоколейной, северо-западнее  г. Аши в направлении  пос. Абдулка",1,1
189,"г. Кыштым, в 180 м. южнее границ промплощадки ТОО «Кыштымавтосервис» по ул. Коноплянка, д. 2",1,1
190,"г. Магнитогорск, Челябинкий тракт, д. 6 ",59.105157,53.377361
191,"1) Красноармейский р-н пос. Петровский, ул. Строителей, д. 3  Новый объект:  2)  г. Троицк,  ул. Еремеева, 53",1,1
193,"г. Магнитогорск, ул. Гранитная, д. 2, строение 1",58.998545,53.345194
194,"г. Златоуст, пос. Балашиха ",59.691353,55.082529
195,"г. Челябинск, ул. Шоссе Металлургов, д. 13п",61.409462,55.253481
196,"г. Челябинск, ул. Автоматики, д. 1 ",61.431075,55.233254
197,"г. Коркино, ул. Керамиков, д. 36Д ",61.335485,54.875553
198,"г. Троицк, ул. Степная, д. 3 ",61.624869,54.067548
199,"г. Копейск, ул. Ленина, д. 24 ",61.622282,55.105526
200,"г. Челябинск, Троицкий тракт, д. 25Б ",61.383096,55.088542
201,"г. Златоуст, 6 жилучасток, в районе завода КСМИ",1,1
202,"г. Челябинск, ул. Производственная,  д. 8а",61.346112,55.203277
203,"Аргаяшский район, относительно ориентира  пос. Кировский, расположенный в границах участка, адрес ориентира: район Аргаяшский",1,1
204,"г. Копейск, ул. Линейная, д. 25 б/1 ",61.657765,55.123173
205,"г. Чебаркуль, ул. Суворова, д. 3г",60.444815,54.978886
206,"1) г. Челябинск, Металлургический район, Промзона ЧМК; 2) г. Усть-Катав, ул.  Некрасова, д. 2",58.143295,54.929457
207,"г. Магнитогорск, ул. Электросети, 23 ",59.065955,53.41808
208,"г. Челябинск, ул. Героев Танкограда, д. 46, корпус П. ",61.441046,55.214029
209,"г. Миасс, Центральная часть ",60.109599,55.050432
210,"г. Магнитогорск, ул. Гранитная, д. 2 ",58.998545,53.345194
211,"1) г. Сатка, ул. 50 лет ВЛКСМ, д. 2Б; 2) Саткинский р-н, р.п. Сулея, юго-восточнее д. 13  ул. Кооперативной",58.981226,55.045795
212,"г. Челябинск. Советский район,  ул. Степана Разина, д. 1",61.407225,55.136859
213,"1) г. Челябинск, ул. Линейная, д. 51; 2) г. Миасс, ул. Копейская, д. 1; 3) г. Миасс, шоссе Тургоякское",60.123317,55.072721
214,"г. Миасс, ул. Пролетарская, д. 1 ",60.10553,54.985328
215,"г. Копейск, ул. Тюменская, д. 1 ",61.6533,55.110404
216,"г. Челябинск, ул. Автодорожная, д. 3 ",61.372217,55.205101
217,"г. Магнитогорск, проезд Кирпичный, д. 6 ",59.052228,53.44485
218,"г. Магнитогорск, ул. Калибровщиков, д. 21 ",59.086912,53.466255
219,"г. Челябинск, ул. Строительная, д. 21 ",61.418238,55.250331
220,"г. Златоуст,  пос. 6-ой жилучасток (в районе КСМИ)",59.672425,55.173113
221,"г. Златоуст, пос. 6-ой жилучасток ",59.672425,55.173113
222,"г. Куса, ул. Герцена, д. 92, участок № 2",59.455338,55.351375
223,"Агаповский р-н, пос. Буранный, ул. Полевая-2я, участок 1Б ",59.326538,53.392635
224,"1. г. Копейск, ул. Линейная, д. 29-объект исключен с 16.09.2021 г.  2. г. Копейск, ул. Линейная, д. 23А",1,1
225,"г. Катав-Ивановск, ул. Юрюзанская, д. 1",58.23133,54.77387
227,"г. Златоуст, 6-й жилучасток ",59.623755,55.184988
228,"г. Челябинск, ул. Водрем-40, д. 25 ",61.370106,55.088305
229,"г. Кыштым, ул. Егозинка, д. 28Б ",60.517938,55.725128
230,"1) г. Миасс, ул. Элеваторная, д.1а 2) г. Карабаш, ул. Дзержинского,               д. 1а 3) г. Касли, ул. Заветы Ильича,                 д. 1а",60.726733,55.891017
231,"г. Златоуст, ул. Пионерская,  д. 34а ",59.742117,55.197656
232,"г. Челябинск, Копейское шоссе,  д. 9-п ",61.530312,55.117345
234,"г. Челябинск, Металлургический район, Промзона ЧМК",61.418714,55.259243
